url,name,ingredients
https://celiac.org/marketplace/recipe/dressed-to-kale-pizza/,‘Dressed to Kale’ Pizza,Caulipower Plain Crust
https://celiac.org/marketplace/recipe/dressed-to-kale-pizza/,‘Dressed to Kale’ Pizza,Olive Oil
https://celiac.org/marketplace/recipe/dressed-to-kale-pizza/,‘Dressed to Kale’ Pizza,"Fresh Kale, Stemmed And Chopped"
https://celiac.org/marketplace/recipe/dressed-to-kale-pizza/,‘Dressed to Kale’ Pizza,Butternut Squash Or Pumpkin Puree
https://celiac.org/marketplace/recipe/dressed-to-kale-pizza/,‘Dressed to Kale’ Pizza,Toasted Pumpkin Seeds
https://celiac.org/marketplace/recipe/dressed-to-kale-pizza/,‘Dressed to Kale’ Pizza,Crumbled Feta Cheese
https://celiac.org/marketplace/recipe/apple-cinnamon-cheerios-crisp/,Apple Cinnamon Cheerios Crisp,Red Apples
https://celiac.org/marketplace/recipe/apple-cinnamon-cheerios-crisp/,Apple Cinnamon Cheerios Crisp,Gluten-Free Oats
https://celiac.org/marketplace/recipe/apple-cinnamon-cheerios-crisp/,Apple Cinnamon Cheerios Crisp,Brown Sugar
https://celiac.org/marketplace/recipe/apple-cinnamon-cheerios-crisp/,Apple Cinnamon Cheerios Crisp,Cinnamon
https://celiac.org/marketplace/recipe/apple-cinnamon-cheerios-crisp/,Apple Cinnamon Cheerios Crisp,Butter
https://celiac.org/marketplace/recipe/apple-cinnamon-cheerios-crisp/,Apple Cinnamon Cheerios Crisp,Apple Cinnamon Cheerios
https://celiac.org/marketplace/recipe/arugula-canadian-bacon-egg-white-omelet/,Arugula & Canadian Bacon Egg White Omelet,Butter
https://celiac.org/marketplace/recipe/arugula-canadian-bacon-egg-white-omelet/,Arugula & Canadian Bacon Egg White Omelet,Arugula
https://celiac.org/marketplace/recipe/arugula-canadian-bacon-egg-white-omelet/,Arugula & Canadian Bacon Egg White Omelet,Cherry Tomatoes
https://celiac.org/marketplace/recipe/arugula-canadian-bacon-egg-white-omelet/,Arugula & Canadian Bacon Egg White Omelet,Red Onions
https://celiac.org/marketplace/recipe/arugula-canadian-bacon-egg-white-omelet/,Arugula & Canadian Bacon Egg White Omelet,Egg Whites
https://celiac.org/marketplace/recipe/arugula-canadian-bacon-egg-white-omelet/,Arugula & Canadian Bacon Egg White Omelet,Salt & Pepper
https://celiac.org/marketplace/recipe/arugula-canadian-bacon-egg-white-omelet/,Arugula & Canadian Bacon Egg White Omelet,Basil
https://celiac.org/marketplace/recipe/arugula-canadian-bacon-egg-white-omelet/,Arugula & Canadian Bacon Egg White Omelet,Jones Dairy Farm Canadian Bacon
https://celiac.org/marketplace/recipe/bacon-pimento-cheese-dip/,Bacon Pimento Cheese Dip,Jones Dairy Farm Dry Aged Bacon
https://celiac.org/marketplace/recipe/bacon-pimento-cheese-dip/,Bacon Pimento Cheese Dip,Mayonnaise
https://celiac.org/marketplace/recipe/bacon-pimento-cheese-dip/,Bacon Pimento Cheese Dip,Cream Cheese
https://celiac.org/marketplace/recipe/bacon-pimento-cheese-dip/,Bacon Pimento Cheese Dip,Pimentos
https://celiac.org/marketplace/recipe/bacon-pimento-cheese-dip/,Bacon Pimento Cheese Dip,Jalapeno Peppers
https://celiac.org/marketplace/recipe/bacon-pimento-cheese-dip/,Bacon Pimento Cheese Dip,Scallions
https://celiac.org/marketplace/recipe/bacon-pimento-cheese-dip/,Bacon Pimento Cheese Dip,Cheddar Cheese
https://celiac.org/marketplace/recipe/bacon-pimento-cheese-dip/,Bacon Pimento Cheese Dip,Pepper Jack Cheese
https://celiac.org/marketplace/recipe/bacon-pimento-cheese-dip/,Bacon Pimento Cheese Dip,Salt And Pepper
https://celiac.org/marketplace/recipe/bacon-wrapped-pineapple-bites/,Bacon Wrapped Pineapple Bites,Bacon Slices
https://celiac.org/marketplace/recipe/bacon-wrapped-pineapple-bites/,Bacon Wrapped Pineapple Bites,Dole Pineapple Chunks
https://celiac.org/marketplace/recipe/bacon-wrapped-pineapple-bites/,Bacon Wrapped Pineapple Bites,Honey
https://celiac.org/marketplace/recipe/bacon-wrapped-pineapple-bites/,Bacon Wrapped Pineapple Bites,Chipotle Chile Powder
https://celiac.org/marketplace/recipe/bacon-wrapped-pineapple-bites/,Bacon Wrapped Pineapple Bites,Green Onion
https://celiac.org/marketplace/recipe/baked-spaghetti-squash-carbonara/,Baked Spaghetti Squash Carbonara,Spaghetti Squash
https://celiac.org/marketplace/recipe/baked-spaghetti-squash-carbonara/,Baked Spaghetti Squash Carbonara,Jones Dairy Farm Bacon
https://celiac.org/marketplace/recipe/baked-spaghetti-squash-carbonara/,Baked Spaghetti Squash Carbonara,Yellow Onion
https://celiac.org/marketplace/recipe/baked-spaghetti-squash-carbonara/,Baked Spaghetti Squash Carbonara,Eggs
https://celiac.org/marketplace/recipe/baked-spaghetti-squash-carbonara/,Baked Spaghetti Squash Carbonara,Ricotta Cheese
https://celiac.org/marketplace/recipe/baked-spaghetti-squash-carbonara/,Baked Spaghetti Squash Carbonara,Parmesan Cheese
https://celiac.org/marketplace/recipe/baked-spaghetti-squash-carbonara/,Baked Spaghetti Squash Carbonara,Salt
https://celiac.org/marketplace/recipe/baked-spaghetti-squash-carbonara/,Baked Spaghetti Squash Carbonara,Black Pepper
https://celiac.org/marketplace/recipe/baked-tomato-cups/,Baked Tomato Cups,Tomatoes
https://celiac.org/marketplace/recipe/baked-tomato-cups/,Baked Tomato Cups,Butter
https://celiac.org/marketplace/recipe/baked-tomato-cups/,Baked Tomato Cups,Eggs
https://celiac.org/marketplace/recipe/baked-tomato-cups/,Baked Tomato Cups,Cream
https://celiac.org/marketplace/recipe/baked-tomato-cups/,Baked Tomato Cups,Jones Dairy Farm Golden Brown Breakfast Sausage Links
https://celiac.org/marketplace/recipe/baked-tomato-cups/,Baked Tomato Cups,Cheddar Cheese
https://celiac.org/marketplace/recipe/baked-tomato-cups/,Baked Tomato Cups,Basil
